,type,JI,source
105,indels,0.209826,BGI_T10_WGS_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
106,snps,0.143026,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
107,indels,0.294097,BGI_T20_WGS_2021_1_TNseq_strelka.isec.HCRVSWGS_WUX_2021_1_TNseq_strelka.isec.HCR
108,snps,0.193832,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
109,indels,0.189341,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
110,snps,0.101374,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
111,indels,0.238433,BGI_T20_WGS_2021_1_TNseq_strelka.isecVSBGI_T10_WGS_2021_1_TNseq_strelka.isec.HCR
112,snps,0.603694,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
113,indels,0.813446,BGI_T10_WGS_2021_3_TNseq_strelka.isecVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
114,snps,0.191974,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
115,indels,0.180369,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
116,snps,0.134177,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
117,indels,0.676959,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec.HCR
118,snps,0.174695,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
119,indels,0.19816,BGI_T10_WGS_2021_1_TNseq_strelka.isecVSNVG_WGS_2023_1_TNseq_strelka.isec.HCR
120,snps,0.205055,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec.HCR
121,indels,0.212898,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T7_WGS_2023_1_TNseq_strelka.isec.HCR
122,snps,0.597784,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
123,indels,0.500145,WGS_WUX_2023_3_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
124,snps,0.0946825,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
125,indels,0.207635,BGI_T20_WGS_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_1_TNseq_strelka.isec
126,snps,0.165932,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
127,indels,0.148074,WGS_WUX_2023_2_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2021_2_TNseq_strelka.isec
128,snps,0.591672,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
129,indels,0.469528,WGS_WUX_2023_1_TNseq_strelka.isecVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
130,snps,0.096451,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
131,indels,0.253529,BGI_T20_WGS_2023_3_TNseq_strelka.isec.HCRVSBGI_T10_WGS_2023_2_TNseq_strelka.isec
132,snps,0.176502,BGI_T10_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
133,indels,0.14713,BGI_T10_WGS_2023_3_TNseq_strelka.isecVSWGS_WUX_2021_3_TNseq_strelka.isec.HCR
134,snps,0.0938986,WGS_WUX_2021_1_TNseq_strelka.isecVSBGI_T20_WGS_2023_1_TNseq_strelka.isec.HCR
